Material
PLA Basic
PLA Matte
PLA Silk+
PLA Silk Dual Color
PLA Silk Tri-Color
PLA Basic Gradient
PLA Sparkle
PLA Metal
PLA Marble
PLA Galaxy
PLA Wood
PLA Glow
PLA Aero
PLA CMYK
PLA-CF
PETG HF
PETG Translucent
PETG-CF
Matte PETG
ABS
ABS-GF
ABS-ESD
ABS-Kevlar
ASA
ASA-CF
ASA Aero
PC
TPU 85A
TPU 90A
TPU 95A HF
TPU for AMS
PAHT-CF
PET-CF
PA6-CF
PA6-GF
PVA
Support for PLA
Support for PA/PET
Support for PLA/PETG
Support for ABS
PLA Recycled
rPLA
rPETG
Bio-PETG
PETG V0
PVB
PC Blend
PC Blend Carbon Fiber
PA11 Carbon Fiber
PP Carbon Fiber
Woodfill
PLA-LW
PolyLite PLA
PolyLite ASA
PolyLite LW-PLA
Panchroma Matte PLA
Panchroma Silk
Panchroma Starlight
Panchroma Galaxy
HT-PLA
HT-PLA-GF
PolyMax PC
PolyFlex TPU95-HF
PolySonic PLA
PolyTerra PLA
PLA Meta
PLA High Speed
PLA High Speed Marble
PLA Rainbow
PLA Twinkling
PETG Rainbow
PETG High Speed Matte
Nylon (PA6-CF)
Nylon (PA12-CF)
Graphene-PA12
PC-ABS
PCTG
Industrial Recycled-PET-G
ASA-X
PEEK
PEKK
PPSU
Ultem 1010
Ultem 9085
PVDF
Nanovia Flex V0
